año,TF-24 Carretera de La Laguna a El Portillo ; BALDIOS-PANASCA,TF-263 Carretera de La Laguna a El Sobradillo (por Geneto) ; GENETO-PAYBO,TF-265 Carretera de La Laguna a Llano del Moro ; LA LAGUNA C. NURIANA,TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA
2000,609,549,597,NA
2001,588,606,496,NA
2002,686,654,563,NA
2003,834,701,603,NA
2004,795,500,640,NA
2005,896,563,733,NA
2006,936,592,762,NA
2007,836,1012,554,NA
2008,1130,523,349,NA
2009,881,495,444,13311
2010,812,457,410,13920
2011,711,400,359,4720
2012,647,406,326,4485
2013,283,178,143,3305
2014,660,324,333,3307
2015,717,450,362,3479
2016,594,373,300,3757
2017,534,516,332,3936
2018,521,361,333,3888
