año,TF-24 Carretera de La Laguna a El Portillo ; BALDIOS-PANASCA,TF-263 Carretera de La Laguna a El Sobradillo (por Geneto) ; GENETO-PAYBO,TF-265 Carretera de La Laguna a Llano del Moro ; LA LAGUNA C. NURIANA,TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA
2000,13097,11823,12844,NA
2001,13061,13463,11032,NA
2002,13775,13151,11320,NA
2003,16429,13809,11886,NA
2004,15347,9667,12361,NA
2005,15711,9876,12855,NA
2006,11151,11277,13369,NA
2007,13049,9503,8653,NA
2008,17293,9316,8721,NA
2009,16164,9091,8152,117244
2010,16265,9148,8203,96076
2011,15469,9700,7802,97451
2012,14580,9143,7354,97175
2013,14207,8909,7166,97421
2014,14982,9398,7557,98887
2015,15120,9485,7627,100273
2016,14582,9148,7356,108685
2017,15178,9972,8725,111267
2018,14782,9935,8730,110841
