Detector;Time;qPKW;qLKW
campus_guajara_creciente_lento;60;1133;90
campus_guajara_creciente_medio_lento;60;1109;110
campus_guajara_creciente_medio_rapido;60;651;120
campus_guajara_creciente_rapido;60;1055;125
campus_guajara_decreciente_lento;60;1285;90
campus_guajara_decreciente_medio;60;1562;110
campus_guajara_decreciente_rapido;60;1269;125
padre_anchieta_creciente_lento;60;1432;90
padre_anchieta_creciente_medio;60;1499;110
padre_anchieta_creciente_rapido;60;1076;125
padre_anchieta_decreciente_lento;60;1100;90
padre_anchieta_decreciente_medio;60;1159;110
padre_anchieta_decreciente_rapido;60;1233;125
tf_24_la_esperanza_creciente;60;584;55
tf_24_la_esperanza_decreciente;60;416;55
tf_263_geneto_creciente;60;318;40
tf_263_geneto_decreciente;60;354;40
av_astrofisico_creciente;60;520;25
av_astrofisico_decreciente;60;320;25
av_angel_guimera;60;30;30
av_trinidad_salida_carril_dcho;60;400;35
av_trinidad_salida_carril_izdo;60;400;35
av_trinidad_entrada_carril_dcho;60;410;35
av_trinidad_entrada_carril_izdo;60;410;35
