Detector;Time;qPKW;qLKW
campus_guajara_creciente_lento;60;2000;90
campus_guajara_creciente_medio_lento;60;1500;110
campus_guajara_creciente_medio_rapido;60;1000;120
campus_guajara_creciente_rapido;60;1200;125
campus_guajara_decreciente_lento;60;1300;90
campus_guajara_decreciente_medio;60;1562;110
campus_guajara_decreciente_rapido;60;1269;125
padre_anchieta_creciente_lento;60;1432;90
padre_anchieta_creciente_medio;60;1499;110
padre_anchieta_creciente_rapido;60;1076;125
padre_anchieta_decreciente_lento;60;2000;90
padre_anchieta_decreciente_medio;60;1500;110
padre_anchieta_decreciente_rapido;60;1600;125
tf_24_la_esperanza_creciente;60;584;55
tf_24_la_esperanza_decreciente;60;350;55
tf_263_geneto_creciente;60;318;40
tf_263_geneto_decreciente;60;354;40
tf_263_geneto_rotonda_creciente;60;250;40
tf_263_geneto_rotonda_decreciente;60;220;40
av_astrofisico_creciente;60;700;25
av_astrofisico_decreciente;60;800;25
av_angel_guimera;60;250;30
av_trinidad_salida_carril_dcho;60;550;35
av_trinidad_salida_carril_izdo;60;400;35
av_trinidad_entrada_carril_dcho;60;410;35
av_trinidad_entrada_carril_izdo;60;410;35
entrada_tf5_sur_carril_dcho;60;400;45
entrada_tf5_sur_carril_izdo;60;400;45
mitad_rotonda_carril_dcho;60;700;30
mitad_rotonda_carril_izdo;60;700;30
entrada_astrofisico_desde_tf5_sur;60;300;30
entre_trinidad_carril_dcho;60;350;30
entre_trinidad_carril_izdo;60;450;30
salida_tf5_norte;60;300;30
salida_tf5_sur;60;300;30
