Detector;Time;qPKW;qLKW
campus_guajara_creciente_lento;60;500;100
campus_guajara_creciente_medio_lento;60;500;100
campus_guajara_creciente_medio_rapido;60;500;100
campus_guajara_creciente_rapido;60;500;100
campus_guajara_decreciente_lento;60;500;100
campus_guajara_decreciente_medio;60;500;100
campus_guajara_decreciente_rapido;60;500;100
padre_anchieta_creciente_lento;60;500;100
padre_anchieta_creciente_medio;60;500;100
padre_anchieta_creciente_rapido;60;500;100
padre_anchieta_decreciente_lento;60;500;100
padre_anchieta_decreciente_medio;60;500;100
padre_anchieta_decreciente_rapido;60;500;100
1_sal_nor;60;475;100
2_inc_nor_d;60;318;100
2_inc_nor_i;60;318;100
3;60;51;100
4_astrofisico_as;60;280;100
5_astrofisico_des;60;440;100
6_esperanza_as;60;546;100
7_esperanza_des;60;419;100
8_geneto_as;60;264;100
9_geneto_des;60;265;100
10_gen_desvio;60;210;100
11_sal_sur;60;887;100
12_inc_sur_d;60;448;100
12_inc_sur_i;60;449;100
13_guimera;60;379;100
14_rot_d;60;486;100
14_rot_i;60;487;100
15_trinidad_sal_d;60;225;100
15_trinidad_sal_i;60;225;100
16_trinidad_ent_d;60;294;100
16_trinidad_ent_i;60;295;100
17_rot_d;60;753;100
17_rot_i;60;754;100
18_rot_d;60;503;100
18_rot_i;60;503;100
19_rot_d;60;602;100
19_rot_i;60;603;100
20_rot_d;60;963;100
20_rot_i;60;964;100
21_rot_d;60;687;100
21_rot_i;60;688;100
additional_1_geneto;60;475;100
additional_2_salida_tf5_sur_i;60;887;100
additional_2_salida_tf5_sur_d;60;210;100
additional_3_astrofisico;60;331;100
